,City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp (F),Wind Speed
0,Tashtagol,80,RU,83,52.77,87.89,12.25,2.73
1,Beringovskiy,64,RU,88,63.05,179.32,22.6,6.08
2,Challans,90,FR,93,46.84,-1.87,46.4,3.36
3,Ushuaia,75,AR,41,-54.8,-68.3,60.8,4.7
4,Sao Joao do Paraiso,36,BR,97,-15.31,-42.01,69.98,3.62
5,Albany,92,AU,63,-35.02,117.89,65.03,4.63
6,Bilma,12,NE,51,18.69,12.92,58.5,5.41
7,San Patricio,40,MX,70,19.22,-104.7,86.0,6.93
8,Sao Joao da Barra,40,BR,74,-21.64,-41.05,78.8,16.11
9,Santiago,92,PH,99,16.69,121.55,73.26,3.18
10,Ayan,44,RU,100,56.45,138.17,-19.31,13.8
11,Klaksvik,56,FO,87,62.23,-6.59,42.8,5.82
12,East London,8,ZA,100,-33.02,27.91,68.5,7.99
13,Dasoguz,90,TM,74,41.84,59.97,28.4,4.7
14,Ostrovnoy,92,RU,97,68.05,39.51,30.83,14.47
15,Atuona,0,PF,99,-9.8,-139.03,81.05,19.84
16,Pudozh,92,RU,85,61.81,36.53,30.96,18.16
17,Manono,64,CD,96,-7.3,27.42,70.11,0.72
18,Butaritari,92,KI,100,3.07,172.79,83.8,17.38
19,Mount Gambier,80,AU,80,-37.83,140.77,56.7,4.85
20,Yellowknife,40,CA,75,62.46,-114.35,-14.81,3.36
21,Carballo,40,ES,81,43.21,-8.69,50.0,5.82
22,Vestmanna,76,FO,87,62.16,-7.17,42.8,5.82
23,Kodiak,90,US,100,57.79,-152.41,42.8,16.11
24,Busselton,100,AU,100,-33.65,115.33,66.69,6.2
25,Torbay,90,CA,100,47.67,-52.73,32.0,14.99
26,Arman,24,RU,45,59.7,150.17,5.0,13.42
27,Tuktoyaktuk,20,CA,83,69.45,-133.04,-5.81,9.17
28,Mabini,75,PH,83,15.6,120.98,77.0,6.93
29,Dikson,32,RU,99,73.51,80.55,13.5,22.75
